room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
5803348,1480,29676067,Shared room,,Lisbon,,Misericórdia,20,5.0,9,1.0,,29.0,,Bunk with a view at Lookout Lisbon! Hostel,2017-07-28 01:19:40.210816,38.713961,-9.144652,0101000020E61000001C9AB2D30F4A22C04ACFF412635B4340
290912,1480,1489229,Shared room,,Lisbon,,Campolide,29,4.5,1,1.0,,12.0,,shared dorm in shared appartment,2017-07-28 01:19:40.208104,38.727478,-9.166483,0101000020E610000010AE80423D5522C09D47C5FF1D5D4340
286153,1480,1489229,Shared room,,Lisbon,,Campolide,32,4.5,2,1.0,,10.0,,Shared Dorm / shared appartment -1,2017-07-28 01:19:40.203198,38.729525,-9.167495,0101000020E6100000AF7C96E7C15522C0A54E4013615D4340
17608815,1480,3624045,Shared room,,Lisbon,,Misericórdia,0,0.0,2,1.0,,18.0,,Couchsurf in central Lisbon,2017-07-28 01:19:40.200901,38.708071,-9.148776,0101000020E610000001DC2C5E2C4C22C07D1F0E12A25A4340
3003018,1480,15304954,Shared room,,Lisbon,,Avenidas Novas,5,3.5,14,1.0,,24.0,,Hostel Elias Garcia Residence,2017-07-28 01:19:40.198893,38.739835,-9.148644,0101000020E6100000467EFD101B4C22C0D4B7CCE9B25E4340
12070760,1480,64460695,Shared room,,Lisbon,,Estrela,0,0.0,6,1.0,,15.0,,Kab+1 Hostel - Amsterdam Room,2017-07-28 01:19:40.196777,38.706692,-9.158141,0101000020E610000040506EDBF75022C0232C2AE2745A4340
17005602,1480,1379661,Shared room,,Lisbon,,Santa Maria Maior,0,0.0,4,1.0,,24.0,,Bed in a 4-bed dorm @ This Is Lisbon Hostel,2017-07-28 01:19:40.194575,38.71556,-9.133353,0101000020E6100000A0A52BD8464422C0B3295778975B4340
17378510,1480,117425901,Shared room,,Lisbon,,Arroios,0,0.0,10,1.0,,16.0,,Cais Sodre Room - Metro Hostel,2017-07-28 01:19:40.190546,38.734935,-9.142788,0101000020E6100000C2853C821B4922C0C7D79E59125E4340
18790690,1480,61255540,Shared room,,Lisbon,,Arroios,0,0.0,4,1.0,,20.0,,Hostel Seven Hills - Quarto S. Roque,2017-07-28 01:19:40.188369,38.728475,-9.134012,0101000020E6100000098B8A389D4422C0107A36AB3E5D4340
12070865,1480,64460695,Shared room,,Lisbon,,Estrela,1,0.0,6,1.0,,15.0,,Kab+1 Hostel - Madrid Room,2017-07-28 01:19:40.185653,38.707347,-9.156651,0101000020E61000007AC5538F345022C03CF6B3588A5A4340
2382263,1480,11481927,Shared room,,Lisbon,,São Vicente,4,5.0,6,1.0,,32.0,,Alfama Patio Hostel 6 Mixed Ensuite,2017-07-28 01:19:40.182998,38.713416,-9.129443,0101000020E61000006B64575A464222C0B9382A37515B4340
13520423,1480,77663975,Shared room,,Lisbon,,Santa Maria Maior,7,4.5,10,1.0,,29.0,,Lisbon Destination Hostel - dorm beds,2017-07-28 01:19:40.180222,38.713968,-9.139971,0101000020E6100000DEC66647AA4722C0FD31AD4D635B4340
10397682,1480,32344156,Shared room,,Lisbon,,Misericórdia,15,5.0,8,1.0,,27.0,,Bed in Elegant 8 bedded dormitory,2017-07-28 01:19:40.177611,38.714696,-9.148736,0101000020E6100000C879FF1F274C22C0804A95287B5B4340
18154378,1480,124601372,Shared room,,Lisbon,,Santo António,4,4.5,4,1.0,,30.0,,Brother`s Hostel,2017-07-28 01:19:40.175560,38.726999,-9.14532,0101000020E6100000D1E80E62674A22C0C39CA04D0E5D4340
6691321,1480,28812904,Shared room,,Lisbon,,Santa Maria Maior,1,0.0,1,1.0,,15.0,,Lisbon Cozy Flat - Bunk Beds 2,2017-07-28 01:19:40.173432,38.711457,-9.136102,0101000020E610000023D74D29AF4522C051C1E105115B4340
12041448,1480,64460695,Shared room,,Lisbon,,Estrela,1,0.0,6,1.0,,15.0,,Kab+1 Hostel - Paris Room,2017-07-28 01:19:40.170574,38.706957,-9.15661,0101000020E61000000074982F2F5022C0D25625917D5A4340
9895119,1480,50896149,Shared room,,Lisbon,,Santo António,5,4.0,8,1.0,,20.0,,The Elevator Hostel,2017-07-28 01:19:38.610307,38.71876,-9.141471,0101000020E610000032AA0CE36E4822C024D6E253005C4340
16213452,1480,105922671,Shared room,,Lisbon,,Misericórdia,5,4.5,10,1.0,,27.0,,14 Bed Dorm in Lisbon's most social hostel,2017-07-28 01:19:38.607746,38.709111,-9.14796,0101000020E6100000793BC269C14B22C0EF1D3526C45A4340
16811978,1480,35989446,Shared room,,Lisbon,,Olivais,8,5.0,2,1.0,,29.0,,Daybed close to airport and Parque das Nações,2017-07-28 01:19:38.605007,38.771122,-9.111228,0101000020E61000008ACC5CE0F23822C0F19C2D20B4624340
